source,target,weight,annee,mois,commentaire
LILLE,MARSEILLE ST CHARLES,73.0,2013,3,Les très importantes chutes de neige avec formation de congères survenues dans le nord à partir du lundi 11 mars dans la soirée jusqu'au vendredi 15 mars et également dans le sud-est le 12 mars ont fortement perturbé la production. Elles ont imposé des limitations de vitesse pour éviter les projections de glace. Les conditions climatiques difficiles de ces derniers mois ont par ailleurs perturbé les différents programmes travaux sur les voies prolongeant ainsi certaines limitations de vitesse au-delà des délais prévus. notamment sur Arras et la périphérie de Lyon.
BREST,PARIS MONTPARNASSE,94.0,2013,3,Épisode neigeux avec fortes répercussions sur la production les 12 et 13 mars. TGV 8624 du 3 mars en retard au départ suite mouvement social. TGV 8672 du 16 mars décontrôle d'aiguille près de Plounérin.
PARIS LYON,GRENOBLE,88.9,2013,3,La journée du 12 mars a été très perturbée par les intempéries (neige et pluies verglassantes) entrainant de nombreux et importants retards avoisinants les 2 heures.
MARSEILLE ST CHARLES,LYON PART DIEU,73.8,2013,3,Les travaux de rénovation de la voie à l'entrée de Lyon génèrent des retards chroniques sur les TGV empruntant cette zone.
PARIS MONTPARNASSE,ANGERS SAINT LAUD,93.3,2013,3,
ANGOULEME,PARIS MONTPARNASSE,85.9,2013,3,
PARIS MONTPARNASSE,LAVAL,94.7,2013,3,
TOURS,PARIS MONTPARNASSE,89.6,2013,2,
PARIS LYON,MACON LOCHE,90.4,2013,3,
PARIS NORD,LILLE,83.6,2013,3,
ST PIERRE DES CORPS,PARIS MONTPARNASSE,79.5,2013,3,"Des événements avec de fortes répercussions sur la circulation : acte de malveillance (dépôt d'objet sur la voie) en amont de St-Pierre-des-Corps le 2 mars, incident sur la caténaire en amont de St-Pierre-des-Corps le 7 mars, panne d'un train de travaux sur la ligne à grande vitesse le 15 mars, rail cassé en amont de St-Pierre-des-Corps le 17 mars, restituation tardive de travaux sur la ligne à grande vitesse le 27 mars."
PERPIGNAN,PARIS LYON,86.5,2013,3,La journée du 12 mars a été très perturbée par les intempéries (neige et pluies verglassantes) entrainant de nombreux et importants retards avoisinants les 2 heures.
NANTES,STRASBOURG,87.0,2013,3,"Les intempéries (neige) du 12, 13 et 14 mars ont entrainé de nombreux et importants retards."
PARIS MONTPARNASSE,QUIMPER,89.0,2013,3,
DUNKERQUE,PARIS NORD,96.4,2012,4,Travaux importants de rénovation des voies entre Arras et Isbergues. entre Douai et Valenciennes et sur la ligne à grande vitesse entre Lille et TGV - Haute Picardie. Les circulations ont également été impactées par une succession de dérangements d'installations ferroviaires.
LYON PART DIEU,MONTPELLIER,79.6,2012,4,"Une baisse de la régularité en avril qui s'explique par une augmentation des incidents d'origine externe (trois accidents de personne, un vol de câbles sur ligne nouvelle) et une limitation de vitesse pour la réalisation de travaux au sud de Lyon."
METZ,PARIS EST,94.5,2012,4,Une liaison au-dessus de l'objectif malgré les pertes de temps du au jet de pierre et à l'incendie à l'entrée de Paris-Est.
PARIS MONTPARNASSE,LA ROCHELLE VILLE,93.8,2012,4,
PARIS MONTPARNASSE,ANGERS SAINT LAUD,95.3,2012,4,
PARIS LYON,CHAMBERY CHALLES LES EAUX,87.8,2012,4,
VANNES,PARIS MONTPARNASSE,97.7,2012,3,
PARIS MONTPARNASSE,BREST,98.4,2012,4,
BREST,PARIS MONTPARNASSE,97.2,2012,4,
RENNES,LYON PART DIEU,94.9,2012,4,
LILLE,PARIS NORD,89.2,2012,3,Circulation fortement dégradée le 5 mars avec des conséquences sur le 6 mars suite aux difficiles conditions climatiques entraînant notamment la chute d'un câble ERDF sur la ligne à grande vitesse. La ponctualité a également été impactée par les travaux importants de rénovation des voies sur la ligne à grande vitesse entre Lille et TGV - Haute Picardie.
PARIS MONTPARNASSE,ANGOULEME,93.7,2012,3,Ralentissements pour travaux de renouvellement des voies au nord de Bordeaux avec retard des TGV en provenance de Bordeaux et qui desservent St-Pierre-des-Corps.
PARIS EST,NANCY,94.9,2012,3,Incendie d'un entrepôt à hauteur de Gagny qui a généré une coupure caténaire les 10 et 11 mars 2012.
PARIS MONTPARNASSE,ST PIERRE DES CORPS,92.4,2012,3,
PARIS MONTPARNASSE,TOULOUSE MATABIAU,81.5,2012,3,
MARSEILLE ST CHARLES,PARIS LYON,95.5,2012,3,
PARIS LYON,MARSEILLE ST CHARLES,95.8,2012,3,
RENNES,PARIS MONTPARNASSE,95.0,2012,3,
PARIS MONTPARNASSE,NANTES,94.1,2012,3,
PARIS LYON,MONTPELLIER,93.2,2012,3,
PARIS MONTPARNASSE,LE MANS,89.9,2012,7,"Le 1er juillet, des problèmes sur le matériel roulant (difficulté pour accrocher deux rames ensemble) imposent de demander aux clients de changer de train pour effectuer le voyage. Avant le départ, un voyageur est pris d'un malaise et nécessite l'intervention des pompiers. Le TGV 8933 partira de Paris Montparnasse avec 115 minutes de retard."
ANGERS SAINT LAUD,PARIS MONTPARNASSE,96.2,2012,7,
LE MANS,PARIS MONTPARNASSE,92.5,2012,7,
BREST,PARIS MONTPARNASSE,95.5,2012,7,
PARIS LYON,DIJON VILLE,94.3,2012,7,
GRENOBLE,PARIS LYON,97.2,2012,7,
PARIS NORD,DUNKERQUE,96.3,2012,7,
DOUAI,PARIS NORD,93.1,2012,7,
BORDEAUX ST JEAN,PARIS MONTPARNASSE,84.1,2013,7,Fortes chaleurs les 7 et 8. Fortes intempéries les 26 et 27. Fuite de gazole d'un train de fret. Pannes de train. Heurt d'animal.
LYON PART DIEU,LILLE,72.0,2013,8,"Défauts d'alimentation électrique à Lille et Lyon, accident de personne à Lille, heurts de Chevreuil du côté de Compiègne et d'Auxerre."
LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,88.9,2013,8,
BESANCON FRANCHE COMTE TGV,PARIS LYON,96.1,2013,7,
CHAMBERY CHALLES LES EAUX,PARIS LYON,87.1,2013,8,
PARIS LYON,BESANCON FRANCHE COMTE TGV,94.0,2013,7,
PARIS LYON,AIX EN PROVENCE TGV,81.2,2013,8,
DIJON VILLE,PARIS LYON,94.6,2013,8,
LILLE,LYON PART DIEU,91.6,2013,8,
ARRAS,PARIS NORD,82.8,2013,7,
ST PIERRE DES CORPS,PARIS MONTPARNASSE,76.8,2013,7,Fortes chaleurs les 7 et 8. Fortes intempéries les 26 et 27. Fuite de gazole d'un train de fret. Pannes de train.
ANGOULEME,PARIS MONTPARNASSE,82.4,2013,7,Fortes chaleurs les 7 et 8. Fortes intempéries les 26 et 27. Fuite de gazole d'un train de fret. Pannes de train. Heurt d'animal.
MARSEILLE ST CHARLES,PARIS LYON,86.0,2013,7,"Des orages et fortes chaleurs, des vols de câbles et accidents de personne perturbent la circulation des TGV."
PARIS LYON,PERPIGNAN,84.0,2013,7,"Des orages et fortes chaleurs, des vols de câbles et accidents de personne perturbent la circulation des TGV."
PARIS LYON,TOULON,81.9,2013,7,"Des orages et fortes chaleurs, des vols de câbles et accidents de personne perturbent la circulation des TGV."
PARIS MONTPARNASSE,ST PIERRE DES CORPS,86.6,2013,7,
SAINT ETIENNE CHATEAUCREUX,PARIS LYON,88.1,2013,7,
PARIS MONTPARNASSE,POITIERS,93.8,2013,7,
PARIS MONTPARNASSE,RENNES,88.2,2013,7,
PARIS LYON,LYON PART DIEU,96.1,2013,7,
CHAMBERY CHALLES LES EAUX,PARIS LYON,79.3,2013,7,"Des orages et fortes chaleurs, des vols de câbles et accidents de personne perturbent la circulation des TGV."
LILLE,LYON PART DIEU,84.5,2013,7,"Fortes chaleurs, orages, incendies et coupures de tension."
ANGERS SAINT LAUD,PARIS MONTPARNASSE,84.4,2013,7,
PARIS MONTPARNASSE,LA ROCHELLE VILLE,92.4,2013,7,
PARIS MONTPARNASSE,LE MANS,84.1,2013,7,
PARIS LYON,BELLEGARDE (AIN),81.0,2013,6,
PARIS MONTPARNASSE,LAVAL,90.9,2013,7,
LYON PART DIEU,PARIS LYON,93.3,2013,7,
PARIS LYON,GRENOBLE,90.7,2013,7,
LILLE,PARIS NORD,82.8,2013,7,
PARIS MONTPARNASSE,ANGOULEME,93.2,2013,12,
MULHOUSE VILLE,PARIS LYON,92.2,2013,12,
MONTPELLIER,PARIS LYON,90.9,2013,12,
STRASBOURG,NANTES,90.2,2013,12,
NANCY,PARIS EST,97.3,2013,12,
METZ,PARIS EST,95.0,2013,12,
LILLE,MARSEILLE ST CHARLES,82.3,2012,3,Circulation fortement dégradée le 5 mars avec des conséquences sur le 6 mars suite aux difficiles conditions climatiques entraînant notamment la chute d'un câble ERDF sur la ligne à grande vitesse. La ponctualité a également été impactée par les travaux importants de rénovation des voies sur la ligne à grande vitesse entre Lille et TGV - Haute Picardie.
MARSEILLE ST CHARLES,LILLE,72.8,2012,3,Circulation fortement dégradée le 5 mars avec des conséquences sur le 6 mars suite aux difficiles conditions climatiques entraînant notamment la chute d'un câble ERDF sur la ligne à grande vitesse. La ponctualité a également été impactée par les travaux importants de rénovation des voies sur la ligne à grande vitesse entre Lille et TGV - Haute Picardie.
LILLE,LYON PART DIEU,91.1,2012,3,Circulation fortement dégradée le 5 mars avec des conséquences sur le 6 mars suite aux difficiles conditions climatiques entraînant notamment la chute d'un câble ERDF sur la ligne à grande vitesse. La ponctualité a également été impactée par les travaux importants de rénovation des voies sur la ligne à grande vitesse entre Lille et TGV - Haute Picardie.
PARIS NORD,DOUAI,90.1,2012,3,Circulation fortement dégradée le 5 mars avec des conséquences sur le 6 mars suite aux difficiles conditions climatiques entraînant notamment la chute d'un câble ERDF sur la ligne à grande vitesse. La ponctualité a également été impactée par les travaux importants de rénovation des voies sur la ligne à grande vitesse entre Lille et TGV - Haute Picardie.
BREST,PARIS MONTPARNASSE,98.3,2012,3,"Difficultés de circulation dans l'ensemble ferroviaire de Tours-St-Pierre. Plus ponctuellement, incidents survenus sur la LGV Atlantique."
LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,87.6,2012,3,
PARIS MONTPARNASSE,ANGERS SAINT LAUD,95.5,2012,3,
CHAMBERY CHALLES LES EAUX,PARIS LYON,83.1,2012,3,
VANNES,PARIS MONTPARNASSE,88.5,2012,2,
PARIS LYON,AVIGNON TGV,86.9,2012,2,
PARIS MONTPARNASSE,TOULOUSE MATABIAU,89.3,2012,7,"Le 6 juillet, le TGV 8501 subit une panne lors de son passage sur la ligne à grande vitesse. Il doit s'arrêter et ne pourra repartir qu'avec une vitesse fortement réduite (160km/h maximum). À Tours. échange de rame pour reprendre une circulation normale jusqu'à la fin du parcours. Le TGV 8501 arrive à son terminus avec 78 minutes de retard."
ST PIERRE DES CORPS,PARIS MONTPARNASSE,89.0,2012,7,"Le 5 juillet, le train 810900 subit une panne et gène la circulation des trains qui le suivent. Le TGV 8300 arrive à Paris Montparnasse avec 30 minutes de retard."
PARIS MONTPARNASSE,TOURS,88.8,2012,7,"Le 11 juillet, le TGV 8350 heurte un chevreuil près de Rouvray (28). Le TGV 8367 qui le suivait est retardé de 20 minutes."
PARIS LYON,CHAMBERY CHALLES LES EAUX,88.7,2012,8,
PARIS LYON,SAINT ETIENNE CHATEAUCREUX,93.2,2012,7,
PARIS LYON,BELLEGARDE (AIN),92.0,2012,7,
DIJON VILLE,PARIS LYON,93.0,2012,8,
AVIGNON TGV,PARIS LYON,84.4,2012,7,
DOUAI,PARIS NORD,89.2,2012,8,
PARIS NORD,ARRAS,96.6,2012,7,
LE MANS,PARIS MONTPARNASSE,86.1,2012,5,"Les travaux d'amélioration de la voie réalisés entre Paris et Le Mans sont à l'origine d'un part non négligeable des retards des TGV. Toutefois, quelques incidents sont tout de même à noter : problème de matériel nécessitant l'inversion de deux rames en gare du Mans; un problème attenant à la voie à la sortie de la gare de Paris-Montparnasse le 31 ainsi que des dérangements de la signalisation."
LILLE,LYON PART DIEU,87.4,2012,5,Les circulations ont été impactées par de nombreux événements : plusieurs accidents de personne ou personnes dans les voies. des heurts d'animaux. Il y a eu également des dérangements des installations ferroviaires et quelques difficultés liées aux rames TGV
PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,89.3,2012,5,
LYON PART DIEU,MARSEILLE ST CHARLES,81.8,2012,5,
PARIS LYON,LYON PART DIEU,94.4,2012,5,
MONTPELLIER,LYON PART DIEU,83.4,2012,5,
MACON LOCHE,PARIS LYON,89.7,2012,5,
DUNKERQUE,PARIS NORD,95.5,2012,5,
LILLE,PARIS NORD,91.5,2012,5,
PARIS NORD,LILLE,89.7,2012,5,
DOUAI,PARIS NORD,90.4,2012,9,Circulation fortement dégradée le 3 septembre par un incident important qui s'est produit sur la ligne à grande vitesse au niveau de la gare d'Arras (incident touchant les installations caténaires avec de lourdes conséquences en termes de retard sur les trains).
PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,60.0,2012,9,Une zone de travaux de renouvellement de la voie fait perdre à l'ensemble des TGV environ 5 min juste avant leur arrivée au Creusot.
LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,90.4,2012,9,
PARIS MONTPARNASSE,LA ROCHELLE VILLE,92.6,2012,9,
BELLEGARDE (AIN),PARIS LYON,93.0,2012,8,
LYON PART DIEU,RENNES,95.7,2012,9,
ARRAS,PARIS NORD,70.7,2013,1,"Liaison touchée principalement par les chutes de neige du 14 au 23 janvier. Durant cette période, pour éviter les dangers liés aux projections de glace, la vitesse des trains sur la ligne à grande vitesse a été limitée à 230 km/h voire 170 km/h. Les installations au sol ainsi que les rames TGV ont également connu des difficultés liées à cet épisode neigeux."
TOURS,PARIS MONTPARNASSE,81.2,2013,1,"Forts épisodes neigeux les 15, 18, 19, 20, 21 et 22 janvier, nécessitant la baisse de vitesse des trains, notamment sur ligne à grande vitesse Atlantique."
PARIS LYON,SAINT ETIENNE CHATEAUCREUX,76.1,2013,1,Conditions météorologiques difficiles (en particulier la neige et le froid).
PARIS MONTPARNASSE,TOULOUSE MATABIAU,87.5,2013,1,
BORDEAUX ST JEAN,PARIS MONTPARNASSE,88.3,2013,1,
POITIERS,PARIS MONTPARNASSE,87.6,2013,1,
PARIS MONTPARNASSE,POITIERS,93.5,2013,1,
PARIS LYON,NICE VILLE,82.8,2013,1,
TOULON,PARIS LYON,81.3,2013,1,
LE MANS,PARIS MONTPARNASSE,66.7,2012,11,Régularité des trains fortement perturbée par les nombreux travaux de renouvellement des voies en Bretagne ainsi que par la réduction de la vitesse des TGV en amont du Mans suite à l'affaisement de la voie causée par des intempéries.
PARIS LYON,CHAMBERY CHALLES LES EAUX,76.1,2012,11,Des travaux vers Mâcon ont d'abord retardé de quelques minutes les TGV. Ces retards ont ensuite généré des difficultés de circulation sur la voie unique située avant l'arrivée à Chambéry.
LILLE,MARSEILLE ST CHARLES,74.0,2012,11,Relation impactée principalement par des événements externes (vols de câble et accidents de personne) mais aussi par des dérangements des installations au sol et quelques difficultés liées au Matériel.
MARSEILLE ST CHARLES,LILLE,83.1,2012,11,Liaison impactée principalement par des événements externes (vols de câble et accidents de personne) mais aussi par des dérangements des installations au sol et quelques difficultés liées au matériel.
ANGERS SAINT LAUD,PARIS MONTPARNASSE,75.6,2012,11,Régularité des trains fortement perturbée par la réduction de la vitesse des TGV en aval d'Angers suite à l'affaisement de la voie causée par des intempéries.
VANNES,PARIS MONTPARNASSE,94.7,2012,10,
PARIS MONTPARNASSE,VANNES,94.6,2012,10,
PARIS LYON,AVIGNON TGV,91.3,2012,10,
DUNKERQUE,PARIS NORD,99.1,2012,11,
PARIS NORD,DUNKERQUE,96.1,2012,11,
LILLE,MARSEILLE ST CHARLES,73.4,2012,8,Les circulations ont été impactées par des dérangements des installations ferroviaires et quelques difficultés liées aux rames TGV. Plusieurs accidents de personnes ont également marqué le mois d'août notamment sur la ligne à grande vitesse du Sud-Est les 16 et 30 août.
STRASBOURG,PARIS EST,91.9,2012,8,La quasi totalité des retards du mois d'août se sont produit le 16 août à cause d'un accident de personne à Vaires.
